,sequence
5GP7_3UPV,45.31
5GP7_3UVK,-38.72
5GP7_3UVM,-55.16
5GP7_4AIF,77.69
5GP7_4APO,77.52
5GP7_4CC2,15.73
5GP7_4CY1,-20.89
5GP7_4E3B,12.58
5GP7_4EQJ,-23.41
5GP7_4ERY,-41.83
5GP7_4EWR,-16.43
5GP7_4F14,-0.16
5GP7_4GNE,-16.99
5GP7_4GQ6,67.09
5GP7_4H39,40.06
5GP7_4IKN,-30.55
5GP7_4J73,-36.7
5GP7_4J78,-23.21
5GP7_4J81,-60.8
5GP7_4JOE,28.21
5GP7_4K75,25.93
5GP7_4LN2,-1.38
5GP7_4LNP,9.17
5GP7_4MDR,-24.19
5GP7_4NXQ,17.02
5GP7_4O36,13.95
5GP7_4WYU,22.31
5GP7_4X3H,42.58
5GP7_4XHV,20.77
5GP7_4Y7R,-45.47
5GP7_4YSI,-26.12
5GP7_4ZHL,0.9
5GP7_5A2J,-51.82
5GP7_5CFA,-35.82
5GP7_5E1D,3.94
5GP7_5E2Q,31.51
5GP7_5GP7,0.0
5GP7_5GU4,46.04
5GP7_5HEB,38.24
5GP7_5HEY,38.77
5GP7_5WOU,33.35
5GP7_5XHZ,2.98
5GP7_5YGF,43.11
5GP7_6CDG,-20.23
5GP7_6EVN,53.19
5GP7_6IM4,65.74
5GU4_1CKA,64.37
5GU4_1D4T,53.59
5GU4_1ELW,50.11
5GU4_1FCH,-6.18
5GU4_1GWR,38.83
5GU4_1JD5,25.28
5GU4_1LB6,-13.3
5GU4_1MF4,44.23
5GU4_1MFG,40.8
5GU4_1OAI,20.09
5GU4_1T7R,51.35
5GU4_1X2R,-16.46
5GU4_1YWO,18.75
5GU4_2HO2,43.28
5GU4_2O9V,55.98
5GU4_2OEI,41.18
5GU4_2PEH,37.63
5GU4_2PV1,44.68
5GU4_2QBW,77.68
5GU4_2WA8,16.75
5GU4_2XRW,40.87
5GU4_3ASL,41.06
5GU4_3CH8,53.6
5GU4_3D9T,19.97
5GU4_3DIW,11.05
5GU4_3DRF,-24.9
5GU4_3DRG,55.12
5GU4_3EMH,38.78
5GU4_3IQG,19.55
5GU4_3IVV,-0.04
5GU4_3L3X,-23.74
5GU4_3OBQ,62.9
5GU4_3R42,60.57
5GU4_3RYB,43.88
5GU4_3SO6,28.61
5GU4_3SOU,29.27
5GU4_3UPV,2.1
5GU4_3UVK,56.15
5GU4_3UVM,20.91
5GU4_4AIF,32.05
5GU4_4APO,23.81
5GU4_4CC2,38.72
5GU4_4CY1,54.07
5GU4_4E3B,16.38
5GU4_4EQJ,-34.73
5GU4_4ERY,73.03
5GU4_4EWR,62.84
5GU4_4F14,25.68
5GU4_4GNE,-20.58
5GU4_4GQ6,13.99
5GU4_4H39,27.13
5GU4_4IKN,51.95
5GU4_4J73,74.49
5GU4_4J78,17.92
5GU4_4J81,18.9
5GU4_4JOE,38.22
5GU4_4K75,40.0
5GU4_4LN2,62.61
5GU4_4LNP,45.96
5GU4_4MDR,6.39
5GU4_4NXQ,60.08
5GU4_4O36,20.56
5GU4_4WYU,5.22
5GU4_4X3H,52.25
5GU4_4XHV,38.13
5GU4_4Y7R,56.28
5GU4_4YSI,23.9
5GU4_4ZHL,11.12
5GU4_5A2J,2.95
5GU4_5CFA,-29.29
5GU4_5E1D,41.09
5GU4_5E2Q,64.72
5GU4_5GP7,23.92
5GU4_5GU4,0.0
5GU4_5HEB,10.43
5GU4_5HEY,50.5
5GU4_5WOU,35.39
5GU4_5XHZ,36.48
5GU4_5YGF,37.54
5GU4_6CDG,61.87
5GU4_6EVN,16.88
5GU4_6IM4,21.75
5HEB_1CKA,60.22
5HEB_1D4T,39.07
5HEB_1ELW,5.08
5HEB_1FCH,6.39
5HEB_1GWR,25.53
5HEB_1JD5,23.04
5HEB_1LB6,35.31
5HEB_1MF4,20.68
5HEB_1MFG,424.77
5HEB_1OAI,2.59
5HEB_1T7R,17.42
5HEB_1X2R,60.21
5HEB_1YWO,50.84
5HEB_2HO2,26.94
5HEB_2O9V,57.16
5HEB_2OEI,29.91
5HEB_2PEH,23.19
5HEB_2PV1,19.3
5HEB_2QBW,407.55
5HEB_2WA8,37.74
5HEB_2XRW,62.63
5HEB_3ASL,27.03
5HEB_3CH8,398.2
5HEB_3D9T,37.2
5HEB_3DIW,452.99
5HEB_3DRF,33.53
5HEB_3DRG,46.33
5HEB_3EMH,40.57
5HEB_3IQG,24.14
5HEB_3IVV,44.51
5HEB_3L3X,28.05
5HEB_3OBQ,34.92
5HEB_3R42,63.58
5HEB_3RYB,37.77
5HEB_3SO6,51.46
5HEB_3SOU,30.45
5HEB_3UPV,-10.64
5HEB_3UVK,44.15
5HEB_3UVM,26.42
5HEB_4AIF,4.68
5HEB_4APO,6.21
5HEB_4CC2,34.22
5HEB_4CY1,45.57
5HEB_4E3B,464.93
5HEB_4EQJ,59.34
5HEB_4ERY,25.67
5HEB_4EWR,33.99
5HEB_4F14,57.06
5HEB_4GNE,8.31
5HEB_4GQ6,79.6
5HEB_4H39,61.47
5HEB_4IKN,64.86
5HEB_4J73,21.36
5HEB_4J78,42.74
5HEB_4J81,-5.9
5HEB_4JOE,496.95
5HEB_4K75,468.4
5HEB_4LN2,57.94
5HEB_4LNP,63.69
5HEB_4MDR,28.59
5HEB_4NXQ,282.35
5HEB_4O36,19.23
5HEB_4WYU,451.97
5HEB_4X3H,13.64
5HEB_4XHV,410.19
5HEB_4Y7R,26.9
5HEB_4YSI,48.04
5HEB_4ZHL,75.05
5HEB_5A2J,49.27
5HEB_5CFA,49.68
5HEB_5E1D,64.46
5HEB_5E2Q,51.73
5HEB_5GP7,38.24
5HEB_5GU4,47.76
5HEB_5HEB,0.0
5HEB_5HEY,1078.82
5HEB_5WOU,464.48
5HEB_5XHZ,71.05
5HEB_5YGF,58.58
5HEB_6CDG,35.62
5HEB_6EVN,14.87
5HEB_6IM4,1.04
5HEY_1CKA,59.28
5HEY_1D4T,48.45
5HEY_1ELW,6.49
5HEY_1FCH,11.33
5HEY_1GWR,21.56
5HEY_1JD5,18.47
5HEY_1LB6,44.26
5HEY_1MF4,11.49
5HEY_1MFG,417.06
5HEY_1OAI,23.33
5HEY_1T7R,-7.91
5HEY_1X2R,45.99
5HEY_1YWO,51.39
5HEY_2HO2,15.67
5HEY_2O9V,58.97
5HEY_2OEI,28.98
5HEY_2PEH,30.69
5HEY_2PV1,18.27
5HEY_2QBW,399.39
5HEY_2WA8,55.27
5HEY_2XRW,75.8
5HEY_3ASL,26.64
5HEY_3CH8,371.82
5HEY_3D9T,35.71
5HEY_3DIW,446.09
5HEY_3DRF,-15.84
5HEY_3DRG,52.38
5HEY_3EMH,24.23
5HEY_3IQG,30.58
5HEY_3IVV,51.46
5HEY_3L3X,21.02
5HEY_3OBQ,28.37
5HEY_3R42,46.16
5HEY_3RYB,39.74
5HEY_3SO6,44.62
5HEY_3SOU,11.11
5HEY_3UPV,4.71
5HEY_3UVK,30.54
5HEY_3UVM,30.62
5HEY_4AIF,2.81
5HEY_4APO,4.96
5HEY_4CC2,35.36
5HEY_4CY1,35.41
5HEY_4E3B,457.75
5HEY_4EQJ,58.29
5HEY_4ERY,31.02
5HEY_4EWR,32.17
5HEY_4F14,57.85
5HEY_4GNE,15.16
5HEY_4GQ6,81.57
5HEY_4H39,68.52
5HEY_4IKN,67.0
5HEY_4J73,45.79
5HEY_4J78,37.72
5HEY_4J81,37.43
5HEY_4JOE,475.23
5HEY_4K75,449.71
5HEY_4LN2,63.42
5HEY_4LNP,64.94
5HEY_4MDR,38.29
5HEY_4NXQ,295.3
5HEY_4O36,19.36
5HEY_4WYU,444.84
5HEY_4X3H,16.82
5HEY_4XHV,416.47
5HEY_4Y7R,25.3
5HEY_4YSI,49.9
5HEY_4ZHL,87.79
5HEY_5A2J,52.87
5HEY_5CFA,40.6
5HEY_5E1D,62.98
5HEY_5E2Q,7.72
5HEY_5GP7,38.77
5HEY_5GU4,49.6
5HEY_5HEB,1078.82
5HEY_5HEY,0.0
5HEY_5WOU,454.61
5HEY_5XHZ,72.99
5HEY_5YGF,34.02
5HEY_6CDG,30.83
5HEY_6EVN,16.73
5HEY_6IM4,11.1
5WOU_1CKA,59.16
5WOU_1D4T,61.26
5WOU_1ELW,18.41
5WOU_1FCH,21.5
5WOU_1GWR,28.63
5WOU_1JD5,44.78
5WOU_1LB6,48.15
5WOU_1MF4,-13.01
5WOU_1MFG,518.63
5WOU_1OAI,7.64
5WOU_1T7R,22.19
5WOU_1X2R,44.89
5WOU_1YWO,34.15
5WOU_2HO2,23.1
5WOU_2O9V,49.33
5WOU_2OEI,30.44
5WOU_2PEH,13.05
5WOU_2PV1,13.82
5WOU_2QBW,496.84
5WOU_2WA8,61.37
5WOU_2XRW,74.02
5WOU_3ASL,8.48
5WOU_3CH8,453.83
5WOU_3D9T,16.8
5WOU_3DIW,530.55
5WOU_3DRF,53.54
5WOU_3DRG,50.46
5WOU_3EMH,37.23
5WOU_3IQG,20.93
5WOU_3IVV,64.74
5WOU_3L3X,20.33
5WOU_3OBQ,58.02
5WOU_3R42,58.89
5WOU_3RYB,54.9
5WOU_3SO6,46.77
5WOU_3SOU,9.02
5WOU_3UPV,7.41
5WOU_3UVK,17.96
5WOU_3UVM,41.69
5WOU_4AIF,19.84
5WOU_4APO,22.17
5WOU_4CC2,50.49
5WOU_4CY1,8.35
5WOU_4E3B,530.24
5WOU_4EQJ,46.18
5WOU_4ERY,27.38
5WOU_4EWR,25.1
5WOU_4F14,51.46
5WOU_4GNE,8.67
5WOU_4GQ6,29.86
5WOU_4H39,72.7
5WOU_4IKN,25.66
5WOU_4J73,47.59
5WOU_4J78,60.59
5WOU_4J81,48.02
5WOU_4JOE,415.68
5WOU_4K75,418.21
5WOU_4LN2,48.7
5WOU_4LNP,51.84
5WOU_4MDR,48.55
5WOU_4NXQ,331.07
5WOU_4O36,19.17
5WOU_4WYU,474.4
5WOU_4X3H,4.3
5WOU_4XHV,383.95
5WOU_4Y7R,22.64
5WOU_4YSI,64.28
5WOU_4ZHL,47.73
5WOU_5A2J,28.48
5WOU_5CFA,64.43
5WOU_5E1D,62.13
5WOU_5E2Q,28.61
5WOU_5GP7,23.9
5WOU_5GU4,25.25
5WOU_5HEB,464.48
5WOU_5HEY,454.61
5WOU_5WOU,0.0
5WOU_5XHZ,79.06
5WOU_5YGF,40.82
5WOU_6CDG,81.56
5WOU_6EVN,16.83
5WOU_6IM4,45.5
5XHZ_1CKA,291.87
5XHZ_1D4T,45.67
5XHZ_1ELW,-34.27
5XHZ_1FCH,11.68
5XHZ_1GWR,11.21
5XHZ_1JD5,33.26
5XHZ_1LB6,23.92
5XHZ_1MF4,27.12
5XHZ_1MFG,61.88
5XHZ_1OAI,-11.92
5XHZ_1T7R,12.67
5XHZ_1X2R,29.8
5XHZ_1YWO,282.15
5XHZ_2HO2,59.13
5XHZ_2O9V,267.61
5XHZ_2OEI,65.65
5XHZ_2PEH,36.33
5XHZ_2PV1,23.39
5XHZ_2QBW,76.63
5XHZ_2WA8,25.32
5XHZ_2XRW,59.43
5XHZ_3ASL,39.24
5XHZ_3CH8,58.67
5XHZ_3D9T,23.2
5XHZ_3DIW,66.67
5XHZ_3DRF,38.74
5XHZ_3DRG,12.78
5XHZ_3EMH,49.65
5XHZ_3IQG,40.1
5XHZ_3IVV,55.38
5XHZ_3L3X,13.5
5XHZ_3OBQ,29.76
5XHZ_3R42,30.52
5XHZ_3RYB,38.0
5XHZ_3SO6,43.74
5XHZ_3SOU,25.98
5XHZ_3UPV,3.46
5XHZ_3UVK,48.15
5XHZ_3UVM,50.4
5XHZ_4AIF,-38.45
5XHZ_4APO,3.19
5XHZ_4CC2,287.33
5XHZ_4CY1,48.92
5XHZ_4E3B,72.2
5XHZ_4EQJ,38.61
5XHZ_4ERY,48.91
5XHZ_4EWR,46.06
5XHZ_4F14,279.89
5XHZ_4GNE,16.6
5XHZ_4GQ6,29.6
5XHZ_4H39,61.2
5XHZ_4IKN,39.5
5XHZ_4J73,80.95
5XHZ_4J78,78.14
5XHZ_4J81,75.82
5XHZ_4JOE,63.77
5XHZ_4K75,80.43
5XHZ_4LN2,267.44
5XHZ_4LNP,327.99
5XHZ_4MDR,57.26
5XHZ_4NXQ,84.52
5XHZ_4O36,4.28
5XHZ_4WYU,72.84
5XHZ_4X3H,7.75
5XHZ_4XHV,57.25
5XHZ_4Y7R,52.0
5XHZ_4YSI,42.96
5XHZ_4ZHL,60.67
5XHZ_5A2J,61.09
5XHZ_5CFA,27.78
5XHZ_5E1D,30.59
5XHZ_5E2Q,48.45
5XHZ_5GP7,-0.16
5XHZ_5GU4,36.48
5XHZ_5HEB,71.05
5XHZ_5HEY,72.99
5XHZ_5WOU,79.06
5XHZ_5XHZ,0.0
5XHZ_5YGF,95.07
5XHZ_6CDG,53.13
5XHZ_6EVN,-2.12
5XHZ_6IM4,20.17
5YGF_1CKA,106.12
5YGF_1D4T,42.66
5YGF_1ELW,33.85
5YGF_1FCH,-13.27
5YGF_1GWR,-26.35
5YGF_1JD5,46.1
5YGF_1LB6,27.53
5YGF_1MF4,20.57
5YGF_1MFG,56.3
5YGF_1OAI,33.39
5YGF_1T7R,-31.64
5YGF_1X2R,47.26
5YGF_1YWO,66.37
5YGF_2HO2,46.97
5YGF_2O9V,86.12
5YGF_2OEI,49.2
5YGF_2PEH,47.6
5YGF_2PV1,31.5
5YGF_2QBW,64.76
5YGF_2WA8,74.96
5YGF_2XRW,29.01
5YGF_3ASL,17.88
5YGF_3CH8,59.67
5YGF_3D9T,36.21
5YGF_3DIW,29.79
5YGF_3DRF,67.12
5YGF_3DRG,34.63
5YGF_3EMH,24.73
5YGF_3IQG,25.96
5YGF_3IVV,61.26
5YGF_3L3X,5.65
5YGF_3OBQ,36.89
5YGF_3R42,67.04
5YGF_3RYB,52.77
5YGF_3SO6,102.51
5YGF_3SOU,14.01
5YGF_3UPV,-13.7
5YGF_3UVK,4.8
5YGF_3UVM,76.12
5YGF_4AIF,-1.77
5YGF_4APO,-11.75
5YGF_4CC2,106.18
5YGF_4CY1,18.92
5YGF_4E3B,37.54
5YGF_4EQJ,53.49
5YGF_4ERY,30.16
5YGF_4EWR,70.25
5YGF_4F14,76.0
5YGF_4GNE,27.26
5YGF_4GQ6,27.51
5YGF_4H39,13.28
5YGF_4IKN,47.1
5YGF_4J73,59.39
5YGF_4J78,55.7
5YGF_4J81,39.65
5YGF_4JOE,28.87
5YGF_4K75,40.7
5YGF_4LN2,83.86
5YGF_4LNP,88.46
5YGF_4MDR,4.34
5YGF_4NXQ,63.4
5YGF_4O36,24.58
5YGF_4WYU,39.85
5YGF_4X3H,36.07
5YGF_4XHV,52.31
5YGF_4Y7R,25.01
5YGF_4YSI,48.37
5YGF_4ZHL,46.78
5YGF_5A2J,39.52
5YGF_5CFA,60.22
5YGF_5E1D,24.35
5YGF_5E2Q,42.05
5YGF_5GP7,43.77
5YGF_5GU4,37.54
5YGF_5HEB,43.75
5YGF_5HEY,45.21
5YGF_5WOU,44.61
5YGF_5XHZ,99.82
5YGF_5YGF,0.0
5YGF_6CDG,61.77
5YGF_6EVN,40.86
5YGF_6IM4,-27.89
6CDG_1CKA,43.22
6CDG_1D4T,73.47
6CDG_1ELW,-26.53
6CDG_1FCH,-0.74
6CDG_1GWR,-33.99
6CDG_1JD5,7.73
6CDG_1LB6,81.69
6CDG_1MF4,5.02
6CDG_1MFG,30.42
6CDG_1OAI,11.08
6CDG_1T7R,-43.56
6CDG_1X2R,82.66
6CDG_1YWO,34.96
6CDG_2HO2,46.74
6CDG_2O9V,56.05
6CDG_2OEI,48.49
6CDG_2PEH,53.72
6CDG_2PV1,18.58
6CDG_2QBW,72.01
6CDG_2WA8,56.39
6CDG_2XRW,61.63
6CDG_3ASL,5.91
6CDG_3CH8,93.06
6CDG_3D9T,9.39
6CDG_3DIW,68.8
6CDG_3DRF,63.6
6CDG_3DRG,74.01
6CDG_3EMH,71.22
6CDG_3IQG,39.39
6CDG_3IVV,97.92
6CDG_3L3X,-44.78
6CDG_3OBQ,55.51
6CDG_3R42,37.91
6CDG_3RYB,87.23
6CDG_3SO6,79.13
6CDG_3SOU,8.01
6CDG_3UPV,-38.62
6CDG_3UVK,67.84
6CDG_3UVM,57.73
6CDG_4AIF,-39.1
6CDG_4APO,-36.95
6CDG_4CC2,34.96
6CDG_4CY1,55.59
6CDG_4E3B,30.93
6CDG_4EQJ,52.38
6CDG_4ERY,67.83
6CDG_4EWR,33.47
6CDG_4F14,37.4
6CDG_4GNE,34.59
6CDG_4GQ6,39.69
6CDG_4H39,85.41
6CDG_4IKN,75.07
6CDG_4J73,46.15
6CDG_4J78,42.08
6CDG_4J81,41.76
6CDG_4JOE,39.97
6CDG_4K75,40.25
6CDG_4LN2,46.53
6CDG_4LNP,67.25
6CDG_4MDR,68.57
6CDG_4NXQ,42.59
6CDG_4O36,17.14
6CDG_4WYU,25.14
6CDG_4X3H,19.0
6CDG_4XHV,29.18
6CDG_4Y7R,61.0
6CDG_4YSI,77.08
6CDG_4ZHL,70.37
6CDG_5A2J,37.27
6CDG_5CFA,139.06
6CDG_5E1D,66.94
6CDG_5E2Q,44.51
6CDG_5GP7,-19.6
6CDG_5GU4,59.67
6CDG_5HEB,20.05
6CDG_5HEY,26.96
6CDG_5WOU,46.36
6CDG_5XHZ,58.15
6CDG_5YGF,61.77
6CDG_6CDG,0.0
6CDG_6EVN,14.14
6CDG_6IM4,-25.19
6EVN_1CKA,16.72
6EVN_1D4T,9.6
6EVN_1ELW,224.46
6EVN_1FCH,267.57
6EVN_1GWR,48.25
6EVN_1JD5,12.51
6EVN_1LB6,32.44
6EVN_1MF4,63.14
6EVN_1MFG,8.69
6EVN_1OAI,63.61
6EVN_1T7R,45.62
6EVN_1X2R,-62.6
6EVN_1YWO,7.21
6EVN_2HO2,23.84
6EVN_2O9V,-11.34
6EVN_2OEI,27.57
6EVN_2PEH,0.05
6EVN_2PV1,40.17
6EVN_2QBW,20.32
6EVN_2WA8,35.02
6EVN_2XRW,59.73
6EVN_3ASL,-7.78
6EVN_3CH8,7.33
6EVN_3D9T,34.13
6EVN_3DIW,28.86
6EVN_3DRF,54.19
6EVN_3DRG,53.4
6EVN_3EMH,-21.63
6EVN_3IQG,38.72
6EVN_3IVV,-13.82
6EVN_3L3X,67.02
6EVN_3OBQ,34.29
6EVN_3R42,50.1
6EVN_3RYB,54.9
6EVN_3SO6,1.38
6EVN_3SOU,4.58
6EVN_3UPV,239.76
6EVN_3UVK,-33.87
6EVN_3UVM,-38.34
6EVN_4AIF,202.68
6EVN_4APO,200.07
6EVN_4CC2,-27.17
6EVN_4CY1,-37.05
6EVN_4E3B,27.68
6EVN_4EQJ,10.26
6EVN_4ERY,-25.53
6EVN_4EWR,-34.12
6EVN_4F14,-10.78
6EVN_4GNE,-19.56
6EVN_4GQ6,109.03
6EVN_4H39,65.82
6EVN_4IKN,14.74
6EVN_4J73,-20.92
6EVN_4J78,-56.96
6EVN_4J81,-13.04
6EVN_4JOE,4.15
6EVN_4K75,4.33
6EVN_4LN2,-5.02
6EVN_4LNP,-19.93
6EVN_4MDR,-33.61
6EVN_4NXQ,31.72
6EVN_4O36,17.86
6EVN_4WYU,21.04
6EVN_4X3H,62.72
6EVN_4XHV,4.75
6EVN_4Y7R,-0.62
6EVN_4YSI,12.23
6EVN_4ZHL,26.0
6EVN_5A2J,-26.01
6EVN_5CFA,-71.78
6EVN_5E1D,49.14
6EVN_5E2Q,71.89
6EVN_5GP7,46.28
6EVN_5GU4,15.99
6EVN_5HEB,14.87
6EVN_5HEY,16.73
6EVN_5WOU,16.83
6EVN_5XHZ,-11.19
6EVN_5YGF,18.84
6EVN_6CDG,14.14
6EVN_6EVN,0.0
6EVN_6IM4,154.78
6IM4_1CKA,20.99
6IM4_1D4T,10.6
6IM4_1ELW,192.05
6IM4_1FCH,359.03
6IM4_1GWR,82.38
6IM4_1JD5,39.43
6IM4_1LB6,17.53
6IM4_1MF4,41.64
6IM4_1MFG,2.34
6IM4_1OAI,62.68
6IM4_1T7R,91.36
6IM4_1X2R,-124.5
6IM4_1YWO,28.96
6IM4_2HO2,1.84
6IM4_2O9V,13.77
6IM4_2OEI,24.53
6IM4_2PEH,42.5
6IM4_2PV1,63.36
6IM4_2QBW,-19.86
6IM4_2WA8,29.11
6IM4_2XRW,62.14
6IM4_3ASL,15.03
6IM4_3CH8,-68.73
6IM4_3D9T,37.52
6IM4_3DIW,45.8
6IM4_3DRF,-1.69
6IM4_3DRG,-24.27
6IM4_3EMH,-111.25
6IM4_3IQG,61.99
6IM4_3IVV,33.59
6IM4_3L3X,85.54
6IM4_3OBQ,32.02
6IM4_3R42,73.06
6IM4_3RYB,-54.7
6IM4_3SO6,52.82
6IM4_3SOU,21.89
6IM4_3UPV,229.78
6IM4_3UVK,-156.16
6IM4_3UVM,-139.39
6IM4_4AIF,223.7
6IM4_4APO,244.22
6IM4_4CC2,-4.74
6IM4_4CY1,-145.38
6IM4_4E3B,40.73
6IM4_4EQJ,-56.47
6IM4_4ERY,-135.82
6IM4_4EWR,-95.32
6IM4_4F14,7.83
6IM4_4GNE,-6.85
6IM4_4GQ6,147.09
6IM4_4H39,79.18
6IM4_4IKN,-81.74
6IM4_4J73,-130.92
6IM4_4J78,-130.83
6IM4_4J81,-99.68
6IM4_4JOE,3.44
6IM4_4K75,-3.17
6IM4_4LN2,12.4
6IM4_4LNP,5.06
6IM4_4MDR,-22.91
6IM4_4NXQ,21.09
6IM4_4O36,13.73
6IM4_4WYU,11.2
6IM4_4X3H,39.99
6IM4_4XHV,34.33
6IM4_4Y7R,-135.16
6IM4_4YSI,-42.77
6IM4_4ZHL,-103.15
6IM4_5A2J,-91.7
6IM4_5CFA,-103.93
6IM4_5E1D,46.53
6IM4_5E2Q,72.18
6IM4_5GP7,65.79
6IM4_5GU4,46.31
6IM4_5HEB,10.97
6IM4_5HEY,11.1
6IM4_5WOU,45.5
6IM4_5XHZ,20.17
6IM4_5YGF,-20.29
6IM4_6CDG,56.76
6IM4_6EVN,154.78
6IM4_6IM4,0.0
